date,Sector,ScoreType,DemandScore,ExportScore,InvestmentScore,EmploymentScore,TotalLabourCostsScore,PayScore,PreTaxProfitsScore
1/1/2008,Business and financial services,Current,2.209876543,1.469135802,1.543209877,0.790123457,2.172839506,2.160493827,1.716049383
1/1/2008,Business and financial services,Future,1.703703704,1.50617284,0.87654321,0.543209877,2.049382716,1.938271605,1.49382716
1/1/2008,"Distribution, hotels, catering, arts, entertainment, recreation and other services",Current,1.591836735,0.785714286,1.295918367,0.275510204,1.969387755,1.673469388,1.020408163
1/1/2008,"Distribution, hotels, catering, arts, entertainment, recreation and other services",Future,1.214285714,1.663265306,1.040816327,0.244897959,1.663265306,1.673469388,0.826530612
1/1/2008,Production,Current,1.712707182,1.850828729,1.486187845,0.585635359,2.171270718,2.127071823,1.364640884
1/1/2008,Production,Future,1.64640884,1.966850829,1.287292818,0.375690608,2.116022099,2.110497238,1.392265193
1/1/2008,"Transport, storage and communications",Current,1.893617021,1.553191489,1.638297872,0.659574468,2.191489362,2.212765957,1.319148936
1/1/2008,"Transport, storage and communications",Future,1.638297872,1.957446809,1.723404255,0.531914894,2.234042553,2.234042553,1.063829787
1/1/2008,Total,Current,1.803439803,1.484029484,1.469287469,0.56019656,2.125307125,2.034398034,1.346437346
1/1/2008,Total,Future,1.552825553,1.800982801,1.196560197,0.395577396,2.007371007,1.985257985,1.238329238
4/1/2008,Business and financial services,Current,1.336283186,1.362831858,1.398230088,0.991150442,1.920353982,2.079646018,0.991150442
4/1/2008,Business and financial services,Future,1.159292035,1.876106195,0.557522124,0.353982301,1.557522124,1.699115044,0.752212389
4/1/2008,"Distribution, hotels, catering, arts, entertainment, recreation and other services",Current,1.070866142,0.952755906,1.393700787,0.401574803,2.05511811,1.968503937,0.74015748
4/1/2008,"Distribution, hotels, catering, arts, entertainment, recreation and other services",Future,1.007874016,1.992125984,1.338582677,0.299212598,1.755905512,1.787401575,0.834645669
4/1/2008,Production,Current,1.886075949,1.970464135,1.41350211,0.514767932,2.164556962,2.227848101,0.983122363
4/1/2008,Production,Future,1.333333333,2.012658228,0.983122363,0.029535865,2.097046414,2.071729958,1.037974684
4/1/2008,"Transport, storage and communications",Current,1.64516129,1.629032258,1.741935484,0.677419355,2.225806452,2.14516129,0.919354839
4/1/2008,"Transport, storage and communications",Future,1.580645161,1.532258065,1.225806452,0.419354839,1.951612903,2.14516129,0.677419355
4/1/2008,Total,Current,1.551020408,1.564007421,1.443413729,0.606679035,2.094619666,2.126159555,0.920222635
4/1/2008,Total,Future,1.248608534,1.92393321,1.005565863,0.20593692,1.886827458,1.935064935,0.888682746
7/1/2008,Business and financial services,Current,1.126984127,1.849206349,1,0.357142857,2,2.015873016,0.746031746
7/1/2008,Business and financial services,Future,0.825396825,1.619047619,0.920634921,0.261904762,1.619047619,1.73015873,0.944444444
7/1/2008,"Distribution, hotels, catering, arts, entertainment, recreation and other services",Current,0.711864407,1.412429379,1.446327684,-0.033898305,1.785310734,1.847457627,0.435028249
7/1/2008,"Distribution, hotels, catering, arts, entertainment, recreation and other services",Future,0.101694915,1.615819209,0.751412429,-0.04519774,1.598870056,1.610169492,0.333333333
7/1/2008,Production,Current,1.281021898,1.605839416,1.397810219,0.102189781,2.164233577,2.102189781,0.733576642
7/1/2008,Production,Future,0.934306569,1.693430657,0.945255474,-0.02189781,1.923357664,1.912408759,0.857664234
7/1/2008,"Transport, storage and communications",Current,1.701492537,0.895522388,1.164179104,0.432835821,2,2.313432836,0.223880597
7/1/2008,"Transport, storage and communications",Future,1.164179104,1.507462687,1.044776119,-0.044776119,2.044776119,2.149253731,0.537313433
7/1/2008,Total,Current,1.138198758,1.526397516,1.309006211,0.149068323,2.010869565,2.037267081,0.600931677
7/1/2008,Total,Future,0.708074534,1.638198758,0.897515528,0.02484472,1.787267081,1.818322981,0.697204969
10/1/2008,Business and financial services,Current,0.411764706,1.56302521,0.81512605,-0.151260504,1.731092437,1.941176471,0.327731092
10/1/2008,Business and financial services,Future,-0.31092437,1.512605042,0.336134454,-0.344537815,1.151260504,1.134453782,0.327731092
10/1/2008,"Distribution, hotels, catering, arts, entertainment, recreation and other services",Current,-0.239520958,1.053892216,0.610778443,-0.263473054,1.586826347,1.838323353,0.137724551
10/1/2008,"Distribution, hotels, catering, arts, entertainment, recreation and other services",Future,-0.425149701,1.401197605,0.19760479,-0.54491018,1.179640719,1.101796407,0.22754491
10/1/2008,Production,Current,0.359375,1.15234375,0.7265625,-0.5234375,2.01953125,2.1171875,0.4296875
10/1/2008,Production,Future,0.171875,0.96875,0.35546875,-0.6015625,1.54296875,1.46875,0.50390625
10/1/2008,"Transport, storage and communications",Current,0.933333333,1.5,1.5,0.116666667,1.683333333,2.183333333,0.45
10/1/2008,"Transport, storage and communications",Future,-0.033333333,1.25,0.566666667,-0.5,1.516666667,1.633333333,0.6
10/1/2008,Total,Current,0.260797342,1.240863787,0.789036545,-0.313953488,1.8089701,2.011627907,0.330564784
10/1/2008,Total,Future,-0.109634551,1.224252492,0.328903654,-0.524916944,1.362126246,1.317275748,0.401993355
1/1/2009,Business and financial services,Current,-0.297297297,0.27027027,0.47027027,-0.72972973,1.048648649,1.562162162,-0.037837838
1/1/2009,Business and financial services,Future,-0.291891892,0.843243243,0.037837838,-0.691891892,-0.005405405,0.286486486,-0.027027027
1/1/2009,"Distribution, hotels, catering, arts, entertainment, recreation and other services",Current,-0.401015228,0.192893401,0.847715736,-0.868020305,1.411167513,1.583756345,0.005076142
1/1/2009,"Distribution, hotels, catering, arts, entertainment, recreation and other services",Future,-0.629441624,0.670050761,0.137055838,-0.431472081,0.502538071,0.583756345,0.096446701
1/1/2009,Production,Current,-0.006269592,0.369905956,0.824451411,-0.978056426,1.717868339,1.796238245,0.297805643
